,eidx,aidx,type,is_flipped,num_supports,num_sufficient
187,17,49,non-leaf,True,2,1
188,17,72,leaf,False,0,0
189,17,86,leaf,False,0,0
190,18,0,default,False,3,0
191,18,10,leaf,False,0,0
192,18,18,non-leaf,False,1,0
193,18,22,non-leaf,False,0,0
194,18,32,non-leaf,False,0,0
195,18,51,non-leaf,False,1,0
196,18,69,non-leaf,True,2,1
197,18,72,leaf,False,0,0
198,18,86,leaf,False,0,0
199,18,98,non-leaf,True,1,1
200,19,0,default,False,1,0
201,19,75,leaf,False,0,0
202,19,86,leaf,False,0,0
203,19,98,non-leaf,True,1,1
204,20,0,default,False,1,0
205,20,43,leaf,False,0,0
206,20,72,leaf,False,0,0
207,20,75,leaf,False,0,0
208,20,86,leaf,False,0,0
209,20,99,non-leaf,False,1,0
210,21,0,default,False,0,0
211,22,0,default,False,4,0
212,22,1,leaf,False,0,0
213,22,7,non-leaf,True,2,1
214,22,8,non-leaf,True,1,1
215,22,10,leaf,False,0,0
216,22,17,non-leaf,False,0,0
217,22,18,non-leaf,False,1,0
218,22,22,non-leaf,False,0,0
219,22,27,non-leaf,True,1,1
220,22,32,non-leaf,False,0,0
221,22,43,leaf,False,0,0
222,22,51,non-leaf,False,1,0
223,22,55,non-leaf,False,0,0
224,22,63,non-leaf,False,1,0
225,22,75,leaf,False,0,0
226,22,86,leaf,False,0,0
227,22,97,non-leaf,False,1,1
228,23,0,default,False,0,0
229,23,42,non-leaf,False,0,0
230,23,72,leaf,False,0,0
231,23,75,leaf,False,0,0
232,23,76,leaf,False,0,0
233,23,77,non-leaf,False,0,0
234,23,88,leaf,False,0,0
235,24,0,default,False,0,0
236,24,1,leaf,False,0,0
237,24,3,non-leaf,False,1,0
238,24,11,non-leaf,True,1,1
239,24,72,leaf,False,0,0
240,24,87,non-leaf,True,2,1
241,25,0,default,True,11,3
242,25,1,leaf,False,0,0
243,25,4,non-leaf,False,1,0
244,25,5,non-leaf,False,2,0
245,25,6,non-leaf,False,2,0
246,25,10,leaf,False,0,0
247,25,16,leaf,False,0,0
248,25,18,non-leaf,False,1,0
249,25,22,non-leaf,False,0,0
250,25,23,non-leaf,False,2,0
251,25,31,non-leaf,True,1,1
252,25,32,non-leaf,False,0,0
253,25,38,non-leaf,False,0,0
254,25,43,leaf,False,0,0
255,25,49,non-leaf,True,2,2
256,25,57,non-leaf,False,1,1
257,25,58,non-leaf,False,1,0
258,25,65,non-leaf,False,1,0
259,25,67,non-leaf,False,1,0
260,25,69,non-leaf,True,2,2
261,25,72,leaf,False,0,0
262,25,75,leaf,False,0,0
263,25,86,leaf,False,0,0
264,25,94,non-leaf,False,2,0
265,25,98,non-leaf,False,0,0
266,25,99,non-leaf,False,1,0
267,26,0,default,False,1,0
268,26,72,leaf,False,0,0
269,26,75,leaf,False,0,0
270,26,86,leaf,False,0,0
271,26,99,non-leaf,False,1,0
272,27,0,default,False,0,0
273,27,8,non-leaf,True,1,1
274,27,10,leaf,False,0,0
275,27,47,non-leaf,False,2,0
276,27,69,non-leaf,True,2,1
277,27,72,leaf,False,0,0
278,27,75,leaf,False,0,0
279,27,99,non-leaf,False,1,0
280,28,0,default,False,3,0
281,28,10,leaf,False,0,0
282,28,17,non-leaf,False,0,0
283,28,32,non-leaf,False,0,0
284,28,40,non-leaf,False,2,0
285,28,42,non-leaf,False,0,0
286,28,51,non-leaf,False,1,0
287,28,53,leaf,False,0,0
288,28,55,non-leaf,True,1,1
289,28,62,non-leaf,False,1,0
290,28,72,leaf,False,0,0
291,28,75,leaf,False,0,0
